bet_id,timestamp,city,station,question,slug,market_id,yes_token,end_date,bucket_low_f,bucket_high_f,is_open_ended_low,is_open_ended_high,side,ask_price,stake,shares,gross_if_win,fee_if_win,net_profit_if_win,net_loss_if_lose,ensemble_prob,edge_pct,gfs_mean_f,ecmwf_mean_f,n_members,brain_multiplier,brain_rationale,status,result,actual_high_f,settled_at,pnl,is_test,metric,display_unit
highest-temperature-in-miami-on-june-21-2026-94-95f__2026-06-20T1337,2026-06-20T13:37:28Z,Miami,KMIA,Will the highest temperature in Miami be between 94-95°F on June 21?,highest-temperature-in-miami-on-june-21-2026-94-95f,2613678,76996272184322199627258774920982939029633646263625821541569389170113506982950,2026-06-21T12:00:00Z,94.0,95.0,False,False,NO,0.15,100.0,117.6471,117.6471,2.3529,15.2942,-100.0,0.0269,12.31,90.0,88.4,206,1.0,,settled,LOST,93.9,2026-06-22T08:00:34Z,-100.0,N,high,f
highest-temperature-in-seattle-on-june-22-2026-86-87f__2026-06-21T0240,2026-06-21T02:40:53Z,Seattle,KSEA,Will the highest temperature in Seattle be between 86-87°F on June 22?,highest-temperature-in-seattle-on-june-22-2026-86-87f,2624322,22059527334027810462003786860604384154243050455254960129356887677956563764095,2026-06-22T12:00:00Z,86.0,87.0,False,False,NO,0.15,100.0,117.6471,117.6471,2.3529,15.2942,-100.0,0.0167,13.33,83.8,82.1,206,1.0,,settled,LOST,86.0,2026-06-23T08:00:29Z,-100.0,N,high,f
highest-temperature-in-miami-on-june-22-2026-94-95f__2026-06-21T1233,2026-06-21T12:33:15Z,Miami,KMIA,Will the highest temperature in Miami be between 94-95°F on June 22?,highest-temperature-in-miami-on-june-22-2026-94-95f,2624365,50678362336757309949221711387900270873055153855989239503954718727208043934921,2026-06-22T12:00:00Z,94.0,95.0,False,False,NO,0.23,100.0,129.8701,129.8701,2.5974,27.2727,-100.0,0.086,14.4,89.2,88.4,206,1.0,,settled,WON,93.2,2026-06-23T08:00:32Z,27.2727,N,high,f
highest-temperature-in-nyc-on-june-22-2026-78-79f__2026-06-21T1400,2026-06-21T14:00:21Z,New York City,KLGA,Will the highest temperature in New York City be between 78-79°F on June 22?,highest-temperature-in-nyc-on-june-22-2026-78-79f,2624333,83517066408852556303280882780235648282598728597245110309801605376386200018193,2026-06-22T12:00:00Z,78.0,79.0,False,False,NO,0.2,100.0,125.0,125.0,2.5,22.5,-100.0,0.0404,15.96,74.6,76.1,206,1.0,,settled,WON,73.4,2026-06-23T08:00:34Z,22.5,N,high,f
highest-temperature-in-nyc-on-june-23-2026-78-79f__2026-06-22T1600,2026-06-22T16:00:12Z,New York City,KLGA,Will the highest temperature in New York City be between 78-79°F on June 23?,highest-temperature-in-nyc-on-june-23-2026-78-79f,2635088,38920441984538130365662496130357915282061532901839551699221356395886243644189,2026-06-23T12:00:00Z,78.0,79.0,False,False,NO,0.26,100.0,135.1351,135.1351,2.7027,32.4324,-100.0,0.0585,20.15,76.6,77.7,206,1.0,,settled,WON,75.2,2026-06-24T08:00:35Z,32.4324,N,high,f
highest-temperature-in-san-francisco-on-june-25-2026-63forbelow__2026-06-24T0230,2026-06-24T02:30:16Z,San Francisco,KSFO,Will the highest temperature in San Francisco be 63°F or below on June 25?,highest-temperature-in-san-francisco-on-june-25-2026-63forbelow,2661903,72100115783627016784580270877895717217708333120908538405913894568112207982676,2026-06-25T12:00:00Z,-999.0,63.0,True,False,YES,0.073,49.799774499119465,682.1887,682.1887,13.6438,618.7452,-49.7998,0.172,9.9,74.3,75.3,206,1.0,,settled,LOST,69.8,2026-06-26T08:00:33Z,-49.7998,N,high,f
highest-temperature-in-chicago-on-june-25-2026-80-81f__2026-06-24T0300,2026-06-24T03:00:34Z,Chicago,KORD,Will the highest temperature in Chicago be between 80-81°F on June 25?,highest-temperature-in-chicago-on-june-25-2026-80-81f,2661853,88698729190248914013245061532871693691906587562488859511360213413316875667604,2026-06-25T12:00:00Z,80.0,81.0,False,False,NO,0.22,100.0,128.2051,128.2051,2.5641,25.641,-100.0,0.1353,8.47,78.2,76.6,206,1.0,,settled,WON,79.0,2026-06-26T08:00:34Z,25.641,N,high,f
highest-temperature-in-chicago-on-june-25-2026-72-73f__2026-06-24T0300,2026-06-24T03:00:34Z,Chicago,KORD,Will the highest temperature in Chicago be between 72-73°F on June 25?,highest-temperature-in-chicago-on-june-25-2026-72-73f,2661849,35688356586951155182954136754797817420637866606691180382446300319165612140754,2026-06-25T12:00:00Z,72.0,73.0,False,False,NO,0.097,100.0,110.742,110.742,2.2148,8.5272,-100.0,0.0348,6.22,78.2,76.6,206,1.0,,settled,WON,79.0,2026-06-26T08:00:35Z,8.5272,N,high,f
highest-temperature-in-atlanta-on-june-25-2026-88-89f__2026-06-24T1200,2026-06-24T12:00:25Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 88-89°F on June 25?,highest-temperature-in-atlanta-on-june-25-2026-88-89f,2661831,73041730520351698035729980957759035047046758438316691306816583515023064621944,2026-06-25T12:00:00Z,88.0,89.0,False,False,NO,0.283,100.0,139.47,139.47,2.7894,36.6806,-100.0,0.0998,18.32,88.5,87.6,206,1.0,,settled,WON,84.2,2026-06-26T08:00:36Z,36.6806,N,high,f
highest-temperature-in-miami-on-june-27-2026-92-93f__2026-06-26T0900,2026-06-26T09:00:19Z,Miami,KMIA,Will the highest temperature in Miami be between 92-93°F on June 27?,highest-temperature-in-miami-on-june-27-2026-92-93f,2687188,54882534571387053391675076126167655982816457699361461291430583394569209987663,2026-06-27T12:00:00Z,92.0,93.0,False,False,NO,0.32,100.0,147.0588,147.0588,2.9412,44.1176,-100.0,0.0958,22.42,88.4,87.8,206,1.0,,settled,WON,91.4,2026-06-28T08:00:35Z,44.1176,N,high,f
highest-temperature-in-san-francisco-on-june-27-2026-68-69f__2026-06-26T0930,2026-06-26T09:30:21Z,San Francisco,KSFO,Will the highest temperature in San Francisco be between 68-69°F on June 27?,highest-temperature-in-san-francisco-on-june-27-2026-68-69f,2687254,113100535052826779595547484605283971623834682557696377473987643732341233777162,2026-06-27T12:00:00Z,68.0,69.0,False,False,NO,0.1,100.0,111.1111,111.1111,2.2222,8.8889,-100.0,0.0196,8.04,66.0,65.6,206,1.0,,settled,WON,66.2,2026-06-28T08:00:36Z,8.8889,N,high,f
highest-temperature-in-austin-on-june-27-2026-92-93f__2026-06-26T1200,2026-06-26T12:00:30Z,Austin,KAUS,Will the highest temperature in Austin be between 92-93°F on June 27?,highest-temperature-in-austin-on-june-27-2026-92-93f,2687204,68919398889137666631570405373070935957830326823583087907987968014975209825153,2026-06-27T12:00:00Z,92.0,93.0,False,False,NO,0.22,100.0,128.2051,128.2051,2.5641,25.641,-100.0,0.0406,17.94,96.9,97.6,206,1.0,,settled,WON,95.0,2026-06-28T08:00:37Z,25.641,N,high,f
